train/reward,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/loss,train/std,train/clip_fraction,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate
-1.1503091,123,713,88064,43,0.3079167604446411,0.2,-0.011720689793583006,0.018821927,7.38566255569458,1.0728141069412231,0.203515625,420,16.541346311569214,-43.16354041099548,0.00025
0.34374893,123,729,90112,44,0.07789236307144165,0.2,-0.008672757839667611,0.020209435,50.45657730102539,1.0743104219436646,0.1537109375,430,92.57707836627961,-43.191941952705385,0.00025
1.0899577,123,746,92160,45,0.232374370098114,0.2,-0.005703445800463669,0.019379992,58.00412368774414,1.076315999031067,0.175732421875,440,129.7356315135956,-43.23693437576294,0.00025
-4.620367,123,762,94208,46,0.4812706708908081,0.2,-0.00696851895772852,0.020357553,14.132214546203613,1.0782185792922974,0.179150390625,450,26.719823753833772,-43.290526962280275,0.00025
1.9421827,123,778,96256,47,0.34004420042037964,0.2,-0.01338591271196492,0.022340054,73.26128387451172,1.079559087753296,0.20244140625,460,124.12467017173768,-43.33464744091034,0.00025
9.114032,123,794,98304,48,0.2977340817451477,0.2,-0.005443594272946939,0.025612283,57.28390121459961,1.0823615789413452,0.27509765625,470,87.4158064365387,-43.39490253925324,0.00025
-0.6591551,123,811,100352,49,0.05987679958343506,0.2,-0.0043613473768346015,0.03336578,40.312015533447266,1.0839509963989258,0.303955078125,480,127.7986810207367,-43.45168914794922,0.00025
0.76138353,123,827,102400,50,0.5547714531421661,0.2,-0.013875865112640894,0.03555335,6.977389335632324,1.0851359367370605,0.229248046875,490,27.310286206007003,-43.48593339920044,0.00025
0.89471865,123,845,104448,51,0.4436606764793396,0.2,-0.011076054733712226,0.022626905,86.3022232055664,1.0879004001617432,0.220751953125,500,212.49147787094117,-43.530490040779114,0.00025
-6.023672,123,861,106496,52,0.3789703845977783,0.2,-0.012079845904372633,0.026250437,113.8922348022461,1.089773178100586,0.2361328125,510,227.683202791214,-43.601608991622925,0.00025
1.8815415,123,877,108544,53,0.7399020493030548,0.2,-0.007614658313104883,0.03919356,8.682271957397461,1.0923829078674316,0.25498046875,520,23.356647270917893,-43.6549910068512,0.00025
1.1244762,123,894,110592,54,0.29133063554763794,0.2,-0.009902382726431824,0.020339482,138.4674530029297,1.0942308902740479,0.211572265625,530,163.54815742969512,-43.71557857990265,0.00025
7.8769064,123,911,112640,55,0.325872004032135,0.2,0.004755830479552969,0.022854244,144.3954620361328,1.095924973487854,0.223828125,540,288.4261719703674,-43.76224176883697,0.00025
